neighbourhood_cleansed,room_type,count
Mount Hope,Private room,10
Murray Hill,Entire home/apt,219
Murray Hill,Private room,95
Murray Hill,Shared room,14
Navy Yard,Entire home/apt,5
Navy Yard,Private room,6
Neponsit,Entire home/apt,1
New Brighton,Entire home/apt,7
New Brighton,Private room,4
New Dorp,Entire home/apt,1
New Dorp,Private room,1
New Dorp Beach,Entire home/apt,2
New Dorp Beach,Private room,2
New Springville,Entire home/apt,1
New Springville,Private room,4
New Springville,Shared room,1
NoHo,Entire home/apt,78
NoHo,Private room,11
Nolita,Entire home/apt,205
Nolita,Private room,137
Nolita,Shared room,6
North Riverdale,Entire home/apt,1
North Riverdale,Private room,4
Norwood,Entire home/apt,7
Norwood,Private room,31
Norwood,Shared room,1
Oakwood,Entire home/apt,1
Olinville,Private room,1
Ozone Park,Entire home/apt,21
Ozone Park,Private room,20
Ozone Park,Shared room,2
Park Slope,Entire home/apt,362
Park Slope,Private room,195
Park Slope,Shared room,4
Parkchester,Entire home/apt,8
Parkchester,Private room,36
Parkchester,Shared room,2
Pelham Bay,Entire home/apt,6
Pelham Bay,Private room,8
Pelham Bay,Shared room,2
Pelham Gardens,Entire home/apt,6
Pelham Gardens,Private room,15
Port Morris,Entire home/apt,10
Port Morris,Private room,12
Port Morris,Shared room,1
Port Richmond,Entire home/apt,2
Port Richmond,Private room,2
Prospect Heights,Entire home/apt,214
Prospect Heights,Private room,164
Prospect Heights,Shared room,1
ProspectLefferts Gardens,Entire home/apt,283
ProspectLefferts Gardens,Private room,278
ProspectLefferts Gardens,Shared room,5
Queens Village,Entire home/apt,13
Queens Village,Private room,26
Queens Village,Shared room,1
Randall Manor,Entire home/apt,6
Randall Manor,Private room,10
Red Hook,Entire home/apt,42
Red Hook,Private room,21
Red Hook,Shared room,2
Rego Park,Entire home/apt,36
Rego Park,Private room,54
Rego Park,Shared room,7
Richmond Hill,Entire home/apt,22
Richmond Hill,Private room,56
Richmond Hill,Shared room,1
Richmondtown,Entire home/apt,1
Ridgewood,Entire home/apt,126
Ridgewood,Private room,249
Ridgewood,Shared room,9
Riverdale,Entire home/apt,10
Riverdale,Private room,5
Riverdale,Shared room,2
Rockaway Beach,Entire home/apt,26
Rockaway Beach,Private room,18
Rockaway Beach,Shared room,2
Roosevelt Island,Entire home/apt,20
Roosevelt Island,Private room,59
Roosevelt Island,Shared room,6
Rosebank,Private room,2
Rosedale,Entire home/apt,8
Rosedale,Private room,26
Rossville,Entire home/apt,1
Schuylerville,Entire home/apt,1
Schuylerville,Private room,4
Schuylerville,Shared room,1
Sea Gate,Entire home/apt,3
Sea Gate,Private room,5
Sheepshead Bay,Entire home/apt,50
Sheepshead Bay,Private room,79
Sheepshead Bay,Shared room,16
Shore Acres,Entire home/apt,4
Shore Acres,Private room,5
Silver Lake,Entire home/apt,1
Silver Lake,Private room,3
SoHo,Entire home/apt,281
SoHo,Private room,124
SoHo,Shared room,2
Soundview,Entire home/apt,4
Soundview,Private room,5
South Beach,Entire home/apt,1
South Beach,Private room,3
South Beach,Shared room,1
South Ozone Park,Entire home/apt,8
South Ozone Park,Private room,24
South Ozone Park,Shared room,1
South Slope,Entire home/apt,205
South Slope,Private room,91
South Slope,Shared room,3
Springfield Gardens,Entire home/apt,18
Springfield Gardens,Private room,31
Springfield Gardens,Shared room,1
